group_id,point_id,attack_type,trigger_type,poison_rate,train_param_type,train_param_value,test_param_type,test_param_value,attack_rate,stealth_rate,transfer_rate,cover_rate
1,1,SIG,SIG,0.03,delta,12.0,test_delta,16.0,0.5583205894619769,0.8984835820895523,0.410781,
1,2,SIG,SIG,0.03,delta,12.0,test_delta,20.0,0.6962324482135409,0.9064790805665197,0.496719,
1,3,SIG,SIG,0.03,delta,12.0,test_delta,24.0,0.7768663978868344,0.6561782265144864,0.572031,
1,4,SIG,SIG,0.03,delta,12.0,test_delta,28.0,0.8292784651744752,0.8646861817535124,0.6275,
1,5,SIG,SIG,0.03,delta,12.0,test_delta,32.0,0.8577783956624496,0.6281554443053818,0.66875,
1,6,SIG,SIG,0.03,delta,12.0,test_delta,36.0,0.871402752676213,0.6646874902022262,0.699531,
2,1,SIG,SIG,0.03,delta,16.0,test_delta,20.0,0.6653691088558321,0.902325725563037,0.0,
2,2,SIG,SIG,0.03,delta,16.0,test_delta,24.0,0.8057834005282914,0.6568109745390693,0.0,
2,3,SIG,SIG,0.03,delta,16.0,test_delta,28.0,0.8886417350201585,0.6726928863595946,0.0,
2,4,SIG,SIG,0.03,delta,16.0,test_delta,32.0,0.9352147921590435,0.6155302878598249,0.0,
2,5,SIG,SIG,0.03,delta,16.0,test_delta,36.0,0.9606561935214792,0.6671680200658411,0.79,
3,1,SIG,SIG,0.03,delta,20.0,test_delta,20.0,0.5987765883497845,0.8997395635012769,0.0,
3,2,SIG,SIG,0.03,delta,20.0,test_delta,24.0,0.7629639927707493,0.6505925373134329,0.0,
3,3,SIG,SIG,0.03,delta,20.0,test_delta,28.0,0.8687612957041568,0.9709166992708518,0.0,
3,4,SIG,SIG,0.03,delta,20.0,test_delta,32.0,0.9257611566801056,0.7752265331664582,0.0,
3,5,SIG,SIG,0.03,delta,20.0,test_delta,36.0,0.9584318087029056,0.6695231384229503,0.7575,
4,1,SIG,SIG,0.03,delta,24.0,test_delta,20.0,0.6054497428055053,0.9067756210819596,0.405313,
4,2,SIG,SIG,0.03,delta,24.0,test_delta,24.0,0.7917419713610455,0.652384811237928,0.560937,
4,3,SIG,SIG,0.03,delta,24.0,test_delta,28.0,0.9035173084943695,0.7712481771296461,0.695625,
4,4,SIG,SIG,0.03,delta,24.0,test_delta,32.0,0.9578757124982622,0.630918648310388,0.810312,
4,5,SIG,SIG,0.03,delta,24.0,test_delta,36.0,0.9824829695537328,0.6654884934942782,0.891875,
5,1,SIG,SIG,0.03,delta,28.0,test_delta,24.0,0.6307521201167802,0.6585782265144865,0.0,
5,2,SIG,SIG,0.03,delta,28.0,test_delta,28.0,0.7817322396774642,0.8675377734305532,0.0,
5,3,SIG,SIG,0.03,delta,28.0,test_delta,32.0,0.8783539552342555,0.625661576971214,0.0,
5,4,SIG,SIG,0.03,delta,28.0,test_delta,36.0,0.9349367440567218,0.6629571406176518,0.5575,
6,1,SIG,SIG,0.03,delta,32.0,test_delta,24.0,0.5800083414430697,0.7544497805092186,0.358594,
6,2,SIG,SIG,0.03,delta,32.0,test_delta,28.0,0.7731127485054915,0.772541472523564,0.504219,
6,3,SIG,SIG,0.03,delta,32.0,test_delta,32.0,0.8886417350201585,0.6229125156445557,0.632812,
6,4,SIG,SIG,0.03,delta,32.0,test_delta,36.0,0.948700125121646,0.6649690233578931,0.74375,
7,1,SIG,SIG,0.03,delta,36.0,test_delta,28.0,0.6121228972612262,0.6608887960163614,0.327969,
7,2,SIG,SIG,0.03,delta,36.0,test_delta,32.0,0.7836785763937161,0.6203327909887361,0.445312,
7,3,SIG,SIG,0.03,delta,36.0,test_delta,36.0,0.8868344223550674,0.6585680200658411,0.556562,
8,1,WaNet,WaNet,0.03,s,0.3,test_s,0.35,0.5218962880578341,0.7744271884769987,0.0775,0.06
8,2,WaNet,WaNet,0.03,s,0.3,test_s,0.4,0.6577227860419853,0.7274591854419411,0.0,0.06
8,3,WaNet,WaNet,0.03,s,0.3,test_s,0.45,0.7582371750312804,0.5533993115656963,0.0,0.06
8,4,WaNet,WaNet,0.03,s,0.3,test_s,0.5,0.8262199360489365,0.5402956442831216,0.0,0.06
9,1,WaNet,WaNet,0.03,s,0.35,test_s,0.35,0.62254970109829,0.7726106185797231,0.064844,0.06
9,2,WaNet,WaNet,0.03,s,0.35,test_s,0.4,0.7839566244960379,0.724675129982669,0.0,0.06
9,3,WaNet,WaNet,0.03,s,0.35,test_s,0.45,0.8818295565132768,0.5536384146341464,0.0,0.06
9,4,WaNet,WaNet,0.03,s,0.35,test_s,0.5,0.937578201028778,0.5429272232304901,0.0,0.06
10,1,WaNet,WaNet,0.03,s,0.4,test_s,0.35,0.6037814541915751,0.7782232581509603,0.064844,0.06
10,2,WaNet,WaNet,0.03,s,0.4,test_s,0.4,0.8021687751981093,0.7272153379549394,0.100625,0.06
10,3,WaNet,WaNet,0.03,s,0.4,test_s,0.45,0.9139441123314334,0.5533754720692369,0.166406,0.06
10,4,WaNet,WaNet,0.03,s,0.4,test_s,0.5,0.9641317948005005,0.533093829401089,0.268594,0.06
11,1,WaNet,WaNet,0.03,s,0.45,test_s,0.35,0.5036841373557626,0.7784417932112551,0.050625,0.06
11,2,WaNet,WaNet,0.03,s,0.45,test_s,0.4,0.7293201723898234,0.7254591854419412,0.065937,0.06
11,3,WaNet,WaNet,0.03,s,0.45,test_s,0.45,0.883497845127207,0.5557881392604249,0.105156,0.06
11,4,WaNet,WaNet,0.03,s,0.45,test_s,0.5,0.9557903517308495,0.5464827586206897,0.171406,0.06
12,1,WaNet,WaNet,0.03,s,0.5,test_s,0.4,0.6214375086890032,0.7308739168110918,0.050625,0.06
12,2,WaNet,WaNet,0.03,s,0.5,test_s,0.45,0.8134297233421381,0.5543104838709678,0.069687,0.06
12,3,WaNet,WaNet,0.03,s,0.5,test_s,0.5,0.9192270262755456,0.5447414398064127,0.105781,0.06
13,1,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.15,0.7713054358404003,0.5686761355443404,0.0,0.001
13,2,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.9492562213262894,0.46107243702401873,0.0,0.001
13,3,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.988878075907132,0.3777438141431182,0.0,0.001
13,4,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.9973585430279438,0.3068225885140786,0.0,0.001
13,5,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.15,0.7012373140553315,0.652258317427302,0.343906,0.002
13,6,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.9168636174058112,0.5303098559514784,0.622656,0.002
13,7,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.9744195745864035,0.4604883934940791,0.808438,0.002
13,8,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.9909634366745447,0.3952032547699214,0.909844,0.002
13,9,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.15,0.5435840400389267,0.7688870204603582,0.0,0.003
13,10,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.8233004309745586,0.5671697230665315,0.0,0.003
13,11,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.9334074794939524,0.5258138442061364,0.0,0.003
13,12,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.9713610454608648,0.48858585229712337,0.793125,0.003
13,13,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.15,0.5859863756429863,0.6369321502450136,0.344375,0.005
13,14,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.8691783678576394,0.5254945777351248,0.649062,0.005
13,15,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.9626025302377311,0.4509516464471404,0.837344,0.005
13,16,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.9883219797024886,0.41128428048952037,0.925156,0.005
13,17,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.7350201584874183,0.6801397591128526,0.432656,0.008
13,18,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.8543027943834284,0.6587976200162734,0.600156,0.008
13,19,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.9025441401362436,0.6143287833506467,0.708438,0.008
13,20,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.6837202836090643,0.8543061564589126,0.0,0.01
13,21,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.8462393994160989,0.8106098961857701,0.0,0.01
13,22,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.9145002085360767,0.78718522347218,0.847031,0.01
13,23,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.5984985402474629,0.6315208478513357,0.0,0.015
13,24,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.8013346308911442,0.6628036953504512,0.0,0.015
13,25,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.9024051160850827,0.6315949006316438,0.77625,0.015
13,26,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.2,0.5050743778673711,0.693840767749037,0.343125,0.02
13,27,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.25,0.7037397469762269,0.6576503160806006,0.514062,0.02
13,28,adaptive_blend,adaptive_blend,0.003,alpha,0.15,test_alpha,0.3,0.8223272626164326,0.6216833051563821,0.633906,0.02
14,1,basic,badnet,0.03,alpha,0.2,test_alpha,0.2,0.7505908522174336,0.7133945916182949,0.527969,
14,2,basic,badnet,0.03,alpha,0.2,test_alpha,0.3,0.9564854719866537,0.5752639534883721,0.799375,
14,3,basic,badnet,0.03,alpha,0.2,test_alpha,0.4,0.9930487974419575,0.5261472560548789,0.928281,
14,4,basic,badnet,0.03,alpha,0.2,test_alpha,0.5,0.9993048797441958,0.48742006121313297,0.977656,
14,5,basic,badnet,0.03,alpha,0.2,test_alpha,0.6,0.9998609759488392,0.26560250278086767,0.993437,
14,6,basic,badnet,0.03,alpha,0.2,test_alpha,0.7,0.9998609759488392,0.2357604004449388,0.997812,
14,7,basic,badnet,0.03,alpha,0.2,test_alpha,0.8,1.0,0.2093761747532324,0.999687,
14,8,basic,badnet,0.03,alpha,0.2,test_alpha,0.9,1.0,0.18685280481023217,1.0,
14,9,basic,badnet,0.03,alpha,0.2,test_alpha,1.0,1.0,0.19887312665091061,1.0,
15,1,basic,badnet,0.03,alpha,0.3,test_alpha,0.2,0.6155984985402475,0.7528661626540439,0.314688,
15,2,basic,badnet,0.03,alpha,0.3,test_alpha,0.3,0.9509245099402197,0.5809600877192983,0.670312,
15,3,basic,badnet,0.03,alpha,0.3,test_alpha,0.4,0.9949951341582094,0.5193672209026129,0.874844,
15,4,basic,badnet,0.03,alpha,0.3,test_alpha,0.5,0.9994439037953566,0.5002351370148839,0.965625,
15,5,basic,badnet,0.03,alpha,0.3,test_alpha,0.6,0.9998609759488392,0.26253200778642943,0.99125,
15,6,basic,badnet,0.03,alpha,0.3,test_alpha,0.7,1.0,0.22714719866536914,0.998125,
15,7,basic,badnet,0.03,alpha,0.3,test_alpha,0.8,1.0,0.19741946336716254,0.999844,
15,8,basic,badnet,0.03,alpha,0.3,test_alpha,0.9,1.0,0.191,1.0,
15,9,basic,badnet,0.03,alpha,0.3,test_alpha,1.0,1.0,0.1937,1.0,
16,1,basic,badnet,0.03,alpha,0.4,test_alpha,0.3,0.7992492701237314,0.689770281788137,0.625313,
16,2,basic,badnet,0.03,alpha,0.4,test_alpha,0.4,0.9728903100236341,0.5776037296370391,0.875781,
16,3,basic,badnet,0.03,alpha,0.4,test_alpha,0.5,0.9973585430279438,0.535362928631168,0.969844,
16,4,basic,badnet,0.03,alpha,0.4,test_alpha,0.6,0.9994439037953566,0.49216305466685206,0.993437,
16,5,basic,badnet,0.03,alpha,0.4,test_alpha,0.7,0.9998609759488392,0.27009652391546163,0.998594,
16,6,basic,badnet,0.03,alpha,0.4,test_alpha,0.8,0.9998609759488392,0.22155325361512795,1.0,
16,7,basic,badnet,0.03,alpha,0.4,test_alpha,0.9,1.0,0.18515609620464346,1.0,
16,8,basic,badnet,0.03,alpha,0.4,test_alpha,1.0,1.0,0.18805560962046433,1.0,
17,1,basic,badnet,0.03,alpha,0.5,test_alpha,0.3,0.5150841095509523,0.7879715875370921,0.411875,
17,2,basic,badnet,0.03,alpha,0.5,test_alpha,0.4,0.8886417350201585,0.6448510325406759,0.743281,
17,3,basic,badnet,0.03,alpha,0.5,test_alpha,0.5,0.9798415125816766,0.5743723554609098,0.924844,
17,4,basic,badnet,0.03,alpha,0.5,test_alpha,0.6,0.9962463506186571,0.5188176737370919,0.980938,
17,5,basic,badnet,0.03,alpha,0.5,test_alpha,0.7,0.999026831641874,0.48097786668522124,0.995469,
17,6,basic,badnet,0.03,alpha,0.5,test_alpha,0.8,0.9998609759488392,0.42278150723025587,0.999219,
17,7,basic,badnet,0.03,alpha,0.5,test_alpha,0.9,1.0,0.393554135965522,1.0,
17,8,basic,badnet,0.03,alpha,0.5,test_alpha,1.0,1.0,0.19197316835812597,1.0,
18,1,basic,badnet,0.03,alpha,0.6,test_alpha,0.4,0.8727929931878214,0.6082366119783371,0.795,
18,2,basic,badnet,0.03,alpha,0.6,test_alpha,0.5,0.9856805227304324,0.5403404442877292,0.95625,
18,3,basic,badnet,0.03,alpha,0.6,test_alpha,0.6,0.999026831641874,0.49730678402449213,0.994219,
18,4,basic,badnet,0.03,alpha,0.6,test_alpha,0.7,0.9997219518976783,0.4483613614240022,0.999844,
18,5,basic,badnet,0.03,alpha,0.6,test_alpha,0.8,1.0,0.22036577227860424,1.0,
18,6,basic,badnet,0.03,alpha,0.6,test_alpha,0.9,1.0,0.19052096482691508,1.0,
18,7,basic,badnet,0.03,alpha,0.6,test_alpha,1.0,1.0,0.1754614625330182,1.0,
19,1,basic,badnet,0.03,alpha,0.7,test_alpha,0.4,0.7155567913248992,0.7062059137739877,0.729062,
19,2,basic,badnet,0.03,alpha,0.7,test_alpha,0.5,0.9079660781315168,0.6228016613076099,0.911563,
19,3,basic,badnet,0.03,alpha,0.7,test_alpha,0.6,0.9717781176143473,0.5669182851229734,0.977344,
19,4,basic,badnet,0.03,alpha,0.7,test_alpha,0.7,0.9919366050326707,0.5259253328661527,0.993594,
19,5,basic,badnet,0.03,alpha,0.7,test_alpha,0.8,0.9966634227721396,0.46156085925512635,0.998594,
19,6,basic,badnet,0.03,alpha,0.7,test_alpha,0.9,0.9988878075907132,0.3979591510090466,0.999531,
19,7,basic,badnet,0.03,alpha,0.7,test_alpha,1.0,0.9995829278465175,0.39499641863699586,0.999844,
20,1,basic,badnet,0.03,alpha,0.8,test_alpha,0.5,0.7001251216460448,0.7261040905480541,0.834844,
20,2,basic,badnet,0.03,alpha,0.8,test_alpha,0.6,0.9082441262338384,0.6408672585335987,0.962031,
20,3,basic,badnet,0.03,alpha,0.8,test_alpha,0.7,0.9759488391491729,0.5965697293447293,0.993437,
20,4,basic,badnet,0.03,alpha,0.8,test_alpha,0.8,0.9922146531349924,0.541729466162253,0.9975,
20,5,basic,badnet,0.03,alpha,0.8,test_alpha,0.9,0.9984707354372306,0.4488225355054303,0.999375,
20,6,basic,badnet,0.03,alpha,0.8,test_alpha,1.0,0.9994439037953566,0.41609485324801787,0.999844,
21,1,basic,badnet,0.03,alpha,0.9,test_alpha,0.5,0.6531349923536772,0.7619465304384845,0.590938,
21,2,basic,badnet,0.03,alpha,0.9,test_alpha,0.6,0.8689003197553177,0.688763,0.791719,
21,3,basic,badnet,0.03,alpha,0.9,test_alpha,0.7,0.9545391352704018,0.6395826609379552,0.907344,
21,4,basic,badnet,0.03,alpha,0.9,test_alpha,0.8,0.9862366189350757,0.5843723498731322,0.961406,
21,5,basic,badnet,0.03,alpha,0.9,test_alpha,0.9,0.9948561101070486,0.5045689910564563,0.987969,
21,6,basic,badnet,0.03,alpha,0.9,test_alpha,1.0,0.9984707354372306,0.44857850877192984,0.997188,
22,1,basic,badnet,0.03,alpha,1.0,test_alpha,0.5,0.6624496037814542,0.7030295309685298,0.731563,
22,2,basic,badnet,0.03,alpha,1.0,test_alpha,0.6,0.8618100931461142,0.6325876592998873,0.896719,
22,3,basic,badnet,0.03,alpha,1.0,test_alpha,0.7,0.9329904073404699,0.5959307769527517,0.959375,
22,4,basic,badnet,0.03,alpha,1.0,test_alpha,0.8,0.961768385930766,0.5456378837319262,0.979844,
22,5,basic,badnet,0.03,alpha,1.0,test_alpha,0.9,0.9788683442235506,0.5016024959329125,0.990313,
22,6,basic,badnet,0.03,alpha,1.0,test_alpha,1.0,0.9881829556513276,0.45294964828362405,0.994531,
23,1,blend,blend,0.03,alpha,0.05,test_alpha,0.05,0.8305296816349228,0.53343270840308,0.0,
23,2,blend,blend,0.03,alpha,0.05,test_alpha,0.1,0.9936048936466009,0.3980888134881768,0.0,
23,3,blend,blend,0.03,alpha,0.05,test_alpha,0.15,0.9994439037953566,0.37387351509250244,0.0,
23,4,blend,blend,0.03,alpha,0.05,test_alpha,0.2,0.9998609759488392,0.371603531701891,0.0,
23,5,blend,blend,0.03,alpha,0.05,test_alpha,0.25,0.9998609759488392,0.36923890433815354,0.0,
23,6,blend,blend,0.03,alpha,0.05,test_alpha,0.3,0.9998609759488392,0.38835002780867633,0.0,
24,1,blend,blend,0.03,alpha,0.1,test_alpha,0.1,0.9812317530932851,0.44894732927174835,0.0,
24,2,blend,blend,0.03,alpha,0.1,test_alpha,0.15,0.9998609759488392,0.3833304505005562,0.0,
24,3,blend,blend,0.03,alpha,0.1,test_alpha,0.2,1.0,0.31238162102043654,0.0,
24,4,blend,blend,0.03,alpha,0.1,test_alpha,0.25,1.0,0.26615438620881415,0.0,
24,5,blend,blend,0.03,alpha,0.1,test_alpha,0.3,1.0,0.24874223550674268,0.0,
25,1,blend,blend,0.03,alpha,0.15,test_alpha,0.1,0.6642569164465453,0.7786811427375472,0.0,
25,2,blend,blend,0.03,alpha,0.15,test_alpha,0.15,0.9923536771861532,0.4551025941405044,0.0,
25,3,blend,blend,0.03,alpha,0.15,test_alpha,0.2,1.0,0.3644644515501182,0.0,
25,4,blend,blend,0.03,alpha,0.15,test_alpha,0.25,1.0,0.31390065341304046,0.0,
25,5,blend,blend,0.03,alpha,0.15,test_alpha,0.3,1.0,0.3021665508132907,1.0,
26,1,blend,blend,0.03,alpha,0.2,test_alpha,0.15,0.9316001668288614,0.4240036337860021,0.736875,
26,2,blend,blend,0.03,alpha,0.2,test_alpha,0.2,0.998192687334909,0.33102277158774374,0.976094,
26,3,blend,blend,0.03,alpha,0.2,test_alpha,0.25,1.0,0.256830056999861,0.998125,
26,4,blend,blend,0.03,alpha,0.2,test_alpha,0.3,1.0,0.2218833032114556,0.999844,
27,1,blend,blend,0.03,alpha,0.25,test_alpha,0.2,0.9341025997497567,0.4339888525078137,0.680156,
27,2,blend,blend,0.03,alpha,0.25,test_alpha,0.25,0.999026831641874,0.38733809490676313,0.956875,
27,3,blend,blend,0.03,alpha,0.25,test_alpha,0.3,1.0,0.3303323369943,0.998125,
28,1,blend,blend,0.03,alpha,0.3,test_alpha,0.2,0.7985541498679272,0.6833066155988858,0.514531,
28,2,blend,blend,0.03,alpha,0.3,test_alpha,0.25,0.9863756429862366,0.405975563777308,0.869375,
28,3,blend,blend,0.03,alpha,0.3,test_alpha,0.3,0.9998609759488392,0.35059418798665193,0.984062,
