pair_id,dataset,model_norm,attack_family,poison_rate,target_label,mode,f,delta,eps,upgd_steps,upgd_steps_multiplier,folder_new,folder_baseline,stealth_tpr_avg_new,stealth_tpr_avg_baseline,stealth_tpr_avg_delta,stealth_auc_avg_new,stealth_auc_avg_baseline,stealth_auc_avg_delta,transfer_rate_new,transfer_rate_baseline,transfer_rate_delta,asr_new,asr_baseline,asr_delta,nc_max_anomaly_index_new,nc_max_anomaly_index_baseline,nc_max_anomaly_index_delta,S_stealth_new,S_stealth_baseline,S_stealth_delta,S_stealth_tpr_new,S_stealth_tpr_baseline,S_stealth_tpr_delta
cifar10|mobilenet|upgd|0.005||all-to-one|||4.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,4.0,,,upgd_0.005_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.2941090971026965,0.8492214095744681,-0.5551123124717716,0.13723524470684012,0.4791841122835059,-0.34194886757666576,0.831406,0.216094,0.615312,0.9694147087446128,0.16349228416516057,0.8059224245794522,4.880569934844971,2.037986993789673,2.842582941055298,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||6.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,6.0,,,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.3704798808012413,0.7450659967504945,-0.3745861159492532,0.16152846928349707,0.4232918241177459,-0.26176335483424884,0.978281,0.417031,0.56125,0.9855414986792715,0.49214514110941193,0.4933963575698596,11.653975486755371,2.7175629138946533,8.936412572860718,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||8.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,8.0,,,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.3664798835501468,0.7666791962206225,-0.4001993126704757,0.1384756046272797,0.43069583906306597,-0.29222023443578626,0.992812,0.557656,0.435156,0.9940219658000834,0.6564715695815376,0.33755039621854577,3.4944546222686768,9.327699661254883,-5.833245038986206,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||10.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,10.0,,,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.5630210140997831,0.6709281002638523,-0.10790708616406919,0.2904328842086261,0.3620062081873896,-0.07157332397876348,0.545469,0.495312,0.05015700000000001,0.6409008758515223,0.8430418462393994,-0.20214097038787704,1.8795490264892578,1.1182911396026611,0.7612578868865967,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||12.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,12.0,,,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.41014950954678975,0.5031993192449048,-0.09304980969811505,0.23900893258430156,0.2853282049538819,-0.04631927236958033,0.967656,0.51375,0.4539059999999999,0.9938829417489226,0.832336994300014,0.1615459474489086,1.4484421014785767,3.879574775695801,-2.431132674217224,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||16.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,16.0,,,upgd_0.005_eps=16.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.52909168496445,0.5357855566237639,-0.006693871659313899,0.3041092874061324,0.3695736637736793,-0.06546437636754687,0.986875,0.905469,0.08140599999999998,0.997219518976783,0.884471013485333,0.11274850549144999,3.0816421508789062,1.4211130142211914,1.6605291366577148,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||20.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,20.0,,,upgd_0.005_eps=20.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.5126772575250836,0.6264558936825886,-0.11377863615750494,0.2532773414877336,0.6496597388918997,-0.39638239740416603,0.94375,0.356875,0.586875,0.9976365911302655,0.7219518976782984,0.2756846934519671,4.605473518371582,1.5479865074157715,3.0574870109558105,,,,,,
cifar10|mobilenet|upgd|0.005||all-to-one|||24.0||#1,cifar10,mobilenet,upgd,0.005,,all-to-one,,,24.0,,,upgd_0.005_eps=24.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.005_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.6381236814162373,0.31883973631858165,0.3192839450976557,0.3880387016115464,0.16163423145017686,0.22640447016136955,0.904531,0.868594,0.035937,0.9983317113860698,0.9958292784651744,0.002502432920895359,5.527389049530029,8.795232772827148,-3.267843723297119,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||4.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,4.0,,,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.4814239676141987,0.7167735849056605,-0.23534961729146175,0.1715929825283402,0.39762305454100155,-0.22603007201266134,0.959375,0.303906,0.655469,0.9830390657583762,0.2652578896149034,0.7177811761434728,2.990131139755249,2.9727883338928223,0.017342805862426758,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||6.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,6.0,,,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.21314155181437533,0.651493366129994,-0.43835181431561865,0.18768618427621575,0.35201755016239455,-0.1643313658861788,0.997344,0.731406,0.265938,0.9961073265674962,0.6994300013902405,0.29667732517725576,9.564075469970703,1.4600266218185425,8.10404884815216,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||8.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,8.0,,,upgd_0.010_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.4496774553571429,0.5811635601990488,-0.13148610484190593,0.2310695180434753,0.42498951309707245,-0.19391999505359714,0.978125,0.525625,0.4525,0.9965243987209788,0.7895175865424718,0.20700681217850692,4.250859260559082,4.204725742340088,0.04613351821899414,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||10.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,10.0,,,upgd_0.010_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.4269392736368707,0.6790089606434484,-0.2520696870065777,0.2013685924264883,0.39890593416360165,-0.19753734173711335,0.989062,0.569063,0.419999,0.9969414708744613,0.8901709995829279,0.10677047129153339,2.267904758453369,2.523164749145508,-0.25525999069213867,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||12.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,12.0,,,upgd_0.010_eps=12.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.4797558939267308,0.5715994469185461,-0.09184355299181535,0.20363967450192666,0.3391182350634029,-0.13547856056147622,0.977187,0.770156,0.20703100000000008,0.9980536632837481,0.9677464201306826,0.030307243153065544,1.2200443744659424,2.8473637104034424,-1.6273193359375,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||16.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,16.0,,,upgd_0.010_eps=16.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.5333007328905272,0.6837922299676102,-0.1504914970770831,0.23935170227065306,0.4214497297129687,-0.18209802744231562,0.9925,0.814375,0.1781250000000001,0.9994439037953566,0.9872097872932017,0.01223411650215489,1.2232147455215454,2.305981159210205,-1.0827664136886597,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||20.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,20.0,,,upgd_0.010_eps=20.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.46540985744089014,0.6455640137339359,-0.18015415629304576,0.18242427329930844,0.3706610643497801,-0.18823679105047164,0.987969,0.754062,0.23390699999999998,0.9995829278465175,0.9844293062699847,0.015153621576532772,2.529608726501465,2.9751009941101074,-0.4454922676086426,,,,,,
cifar10|mobilenet|upgd|0.01||all-to-one|||24.0||#1,cifar10,mobilenet,upgd,0.01,,all-to-one,,,24.0,,,upgd_0.010_eps=24.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.010_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.5411089057285874,0.5358173277661795,0.005291577962407867,0.26718376392413234,0.35517371258892716,-0.08798994866479481,0.979688,0.9725,0.007187999999999972,0.9998609759488392,0.9988878075907132,0.0009731683581259976,5.746793270111084,1.4391463994979858,4.307646870613098,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||4.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,4.0,,,upgd_0.050_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.1810395493517356,0.47249306604192565,-0.29145351669019004,0.12152722818646255,0.2872122685344747,-0.16568504034801212,0.994844,0.858594,0.13624999999999998,0.997219518976783,0.7825663839844293,0.2146531349923536,2.165011405944824,2.776733160018921,-0.6117217540740967,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||6.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,6.0,,,upgd_0.050_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.38022288763066203,0.550865409839011,-0.17064252220834897,0.1550680625404942,0.2704008481030574,-0.11533278556256321,0.994375,0.9825,0.011874999999999969,0.9974975670791046,0.9671903239260392,0.030307243153065433,4.990583896636963,2.1627273559570312,2.8278565406799316,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||8.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,8.0,,,upgd_0.050_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.34956511793765666,0.5418525963751439,-0.19228747843748728,0.18463500897137575,0.22462560801548392,-0.03999059904410818,0.995156,0.965938,0.029218000000000077,0.999026831641874,0.9666342277213958,0.03239260392047816,2.146606922149658,1.5815128087997437,0.5650941133499146,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||10.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,10.0,,,upgd_0.050_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.34101697273233167,0.5769315957916421,-0.23591462305931044,0.14962540244412026,0.2350731364162577,-0.08544773397213745,0.998437,0.899062,0.09937499999999999,0.9993048797441958,0.9449464757403031,0.05435840400389269,5.9806365966796875,4.373856544494629,1.6067800521850586,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||12.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,12.0,,,upgd_0.050_eps=12.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.2018535525583982,0.6138390721722004,-0.41198551961380214,0.07674502491337476,0.36791910963863184,-0.2911740847252571,0.9975,0.909531,0.08796900000000007,0.9998609759488392,0.9881829556513276,0.011678020297511527,3.938828229904175,4.10191535949707,-0.1630871295928955,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||16.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,16.0,,,upgd_0.050_eps=16.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.5302730354659249,0.5965752601237345,-0.06630222465780966,0.25836587091763086,0.2499127662943169,0.008453104623313945,0.995938,0.900312,0.09562599999999999,0.9995829278465175,0.9887390518559711,0.01084387599054637,1.904176950454712,4.031379699707031,-2.1272027492523193,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||20.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,20.0,,,upgd_0.050_eps=20.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.2801958426028921,0.5213434631831456,-0.24114762058025352,0.2722375729667097,0.266900428419529,0.0053371445471807055,0.997969,0.998281,-0.00031199999999997896,0.9998609759488392,0.9997219518976783,0.00013902405116084093,2.929966926574707,1.8769665956497192,1.0530003309249878,,,,,,
cifar10|mobilenet|upgd|0.05||all-to-one|||24.0||#1,cifar10,mobilenet,upgd,0.05,,all-to-one,,,24.0,,,upgd_0.050_eps=24.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,upgd_0.050_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=mobilenetv2_cifar10,0.519539684195882,0.5342966119382218,-0.01475692774233972,0.30993716714644326,0.2256035397899211,0.08433362735652217,0.99375,0.982812,0.010938000000000003,0.9993048797441958,0.9991658556930348,0.00013902405116095196,3.7415554523468018,3.366744041442871,0.37481141090393066,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||4.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,4.0,,,upgd_0.005_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.028000000000000025,0.7780142670915411,-0.7500142670915411,0.04412875000000005,0.4383163365864754,-0.39418758658647535,0.984531,0.417969,0.566562,0.9995829278465175,0.47991102460725704,0.5196719032392605,,2.167253017425537,,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||6.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,6.0,,,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.3225,0.7631671637744035,-0.4406671637744035,0.10926049999999998,0.40995857582860395,-0.300698075828604,0.999375,0.595781,0.403594,1.0,0.6407618518003615,0.3592381481996385,,1.8836889266967773,,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||8.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,8.0,,,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.388,0.8024409908186687,-0.4144409908186687,0.107927,0.4058658384212537,-0.2979388384212537,0.988906,0.601719,0.38718699999999995,0.9993048797441958,0.7268177394689281,0.27248714027526766,,4.256786346435547,,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||10.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,10.0,,,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.4095,0.6506755482085517,-0.2411755482085517,0.12368625,0.29253432704965454,-0.16884807704965454,0.998594,0.7025,0.29609399999999997,1.0,0.8224662866675935,0.17753371333240653,,2.3838770389556885,,,,,,,
cifar10|resnet18|upgd|0.005||all-to-one|||12.0||#1,cifar10,resnet18,upgd,0.005,,all-to-one,,,12.0,,,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.6779999999999999,0.5830827199869153,0.09491728001308464,0.3208417499999999,0.22154419332209474,0.09929755667790519,0.999687,0.664687,0.33499999999999996,1.0,0.849993048797442,0.15000695120255803,,2.8042550086975098,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||4.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,4.0,,,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.0,0.6452054204062353,-0.6452054204062353,0.04194025000000012,0.4002650470377431,-0.358324797037743,0.994375,0.756094,0.23828099999999997,0.9997219518976783,0.5886278326150424,0.41109411928263595,,1.9705346822738647,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||6.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,6.0,,,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.0,0.6139486892583119,-0.6139486892583119,0.04271225000000001,0.2800093969940327,-0.2372971469940327,0.999219,0.928594,0.07062499999999994,1.0,0.8152370360072293,0.1847629639927707,,1.8386363983154297,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||8.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,8.0,,,upgd_0.010_eps=8.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.45699999999999996,0.5165605975828111,-0.05956059758281118,0.10917575000000013,0.3200802978011026,-0.21090454780110246,0.994687,0.764219,0.230468,0.9998609759488392,0.7764493257333519,0.22341165021548726,,3.8351263999938965,,,,,,,
cifar10|resnet18|upgd|0.01||all-to-one|||10.0||#1,cifar10,resnet18,upgd,0.01,,all-to-one,,,10.0,,,upgd_0.010_eps=10.0_constraint=Linf_steps=100_mode=all2one_mult=5_poison_seed=2333_arch=ResNet18_cifar10,upgd_0.010_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10,0.05500000000000005,0.5772141515754425,-0.5222141515754425,0.05257925000000008,0.33580870676346686,-0.2832294567634668,0.998594,0.79375,0.20484400000000003,1.0,0.8559710829973586,0.14402891700264142,,3.1154279708862305,,,,,,,
