unmatched_side,dataset,model_norm,attack_family,poison_rate,target_label,mode,folder_name
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.005,,all-to-one,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.01,,all-to-one,SIG_0.010_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.05,,all-to-one,SIG_0.050_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.05,,all-to-one,SIG_0.050_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.05,,all-to-one,SIG_0.050_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.05,,all-to-one,SIG_0.050_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.05,,all-to-one,SIG_0.050_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.05,,all-to-one,SIG_0.050_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,mobilenet,sig,0.05,,all-to-one,SIG_0.050_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10
baseline_only,cifar10,resnet18,sig,0.005,,all-to-one,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.005,,all-to-one,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.005,,all-to-one,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.005,,all-to-one,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.005,,all-to-one,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.005,,all-to-one,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.005,,all-to-one,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.01,,all-to-one,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.01,,all-to-one,SIG_0.010_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.01,,all-to-one,SIG_0.010_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.01,,all-to-one,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.01,,all-to-one,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.01,,all-to-one,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.01,,all-to-one,SIG_0.010_delta=56_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.05,,all-to-one,SIG_0.050_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.05,,all-to-one,SIG_0.050_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.05,,all-to-one,SIG_0.050_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.05,,all-to-one,SIG_0.050_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.05,,all-to-one,SIG_0.050_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.05,,all-to-one,SIG_0.050_delta=44_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,sig,0.05,,all-to-one,SIG_0.050_delta=56_f=6_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,vgg,sig,0.005,,all-to-one,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.005,,all-to-one,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.005,,all-to-one,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.005,,all-to-one,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.005,,all-to-one,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.005,,all-to-one,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.005,,all-to-one,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.01,,all-to-one,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.01,,all-to-one,SIG_0.010_delta=12_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.01,,all-to-one,SIG_0.010_delta=20_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.01,,all-to-one,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.01,,all-to-one,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.01,,all-to-one,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.01,,all-to-one,SIG_0.010_delta=56_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.05,,all-to-one,SIG_0.050_delta=4_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.05,,all-to-one,SIG_0.050_delta=12_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.05,,all-to-one,SIG_0.050_delta=20_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.05,,all-to-one,SIG_0.050_delta=28_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.05,,all-to-one,SIG_0.050_delta=36_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.05,,all-to-one,SIG_0.050_delta=44_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,sig,0.05,,all-to-one,SIG_0.050_delta=56_f=6_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,resnet18,upgd,0.005,,all-to-one,upgd_0.005_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,upgd,0.005,,all-to-one,upgd_0.005_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,resnet18,upgd,0.005,,all-to-one,upgd_0.005_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=ResNet18_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.005,,all-to-one,upgd_0.005_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.01,,all-to-one,upgd_0.010_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=4.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=6.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=8.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=10.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=12.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=16.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=20.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,cifar10,vgg,upgd,0.05,,all-to-one,upgd_0.050_eps=24.0_constraint=Linf_steps=100_mult=5_poison_seed=2333_arch=vgg19_bn_cifar10
baseline_only,tiny_imagenet,mobilenet,sig,0.001,,all-to-one,SIG_0.001_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_tiny_imagenet
baseline_only,tiny_imagenet,mobilenet,sig,0.001,,all-to-one,SIG_0.001_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_tiny_imagenet
baseline_only,tiny_imagenet,mobilenet,sig,0.001,,all-to-one,SIG_0.001_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_tiny_imagenet
baseline_only,tiny_imagenet,mobilenet,sig,0.001,,all-to-one,SIG_0.001_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_tiny_imagenet
baseline_only,tiny_imagenet,mobilenet,sig,0.001,,all-to-one,SIG_0.001_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_tiny_imagenet
baseline_only,tiny_imagenet,mobilenet,sig,0.001,,all-to-one,SIG_0.001_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_tiny_imagenet
